strategy_name,planned,succeeded,failed,model_calls,prompt_tokens,completion_tokens,total_tokens,duration_seconds,selected_artifact_count,regenerated_artifact_count,preserved_artifact_count,migration_passed,baseline_passed,evaluator_passed
impact_plan,30,10,0,10,9875,8408,18283,108.142,23,0,17,0,0,0
iterative_repository_agent,30,10,0,70,60519,2260,62779,326.936,18,0,32,0,0,0
