run_id,scenario_id,strategy_name,repetition,status,failure_classification,model_calls,prompt_tokens,completion_tokens,total_tokens,total_workflow_tokens,total_workflow_model_calls,duration_seconds,selected_artifact_count,regenerated_artifact_count,preserved_artifact_count,migration_generation_passed,baseline_validation_passed,scenario_evaluator_passed
todo-heldout-004_iterative_repository_agent_rep2_1ccf5a2b,todo-heldout-004,iterative_repository_agent,2,succeeded,,6,5849,288,6137,6137,6,7.515999999995984,2,0,3,,,
todo-heldout-004_iterative_repository_agent_rep3_ac4539ce,todo-heldout-004,iterative_repository_agent,3,succeeded,,6,5849,206,6055,6055,6,7.171999999998661,2,0,3,,,
todo-heldout-004_iterative_repository_agent_rep4_a4893b43,todo-heldout-004,iterative_repository_agent,4,succeeded,,6,5849,233,6082,6082,6,6.562000000005355,2,0,3,,,
todo-heldout-004_iterative_repository_agent_rep5_07326f97,todo-heldout-004,iterative_repository_agent,5,succeeded,,6,5748,238,5986,5986,6,7.296999999998661,2,0,3,,,
todo-heldout-005_impact_plan_rep1_5d42243a,todo-heldout-005,impact_plan,1,succeeded,,1,1039,831,1870,1870,1,6.110000000000582,2,0,3,,,
todo-heldout-005_impact_plan_rep2_e20b0673,todo-heldout-005,impact_plan,2,succeeded,,1,1039,981,2020,2020,1,5.969000000004598,2,0,2,,,
todo-heldout-005_impact_plan_rep3_e7964760,todo-heldout-005,impact_plan,3,succeeded,,1,1039,1027,2066,2066,1,7.01600000000326,2,0,2,,,
todo-heldout-005_impact_plan_rep4_7d44bee8,todo-heldout-005,impact_plan,4,succeeded,,1,1039,889,1928,1928,1,6.890999999995984,2,0,2,,,
todo-heldout-005_impact_plan_rep5_e50b221d,todo-heldout-005,impact_plan,5,succeeded,,1,1039,1042,2081,2081,1,7.671999999998661,2,0,2,,,
todo-heldout-005_iterative_repository_agent_rep1_00ccca3e,todo-heldout-005,iterative_repository_agent,1,succeeded,,8,9556,259,9815,9815,8,9.140999999995984,2,0,3,,,
todo-heldout-005_iterative_repository_agent_rep2_5c4af8f6,todo-heldout-005,iterative_repository_agent,2,succeeded,,8,7614,291,7905,7905,8,7.921999999998661,2,0,3,,,
todo-heldout-005_iterative_repository_agent_rep3_c2752c8b,todo-heldout-005,iterative_repository_agent,3,succeeded,,8,7746,342,8088,8088,8,9.703000000001339,2,0,3,,,
todo-heldout-005_iterative_repository_agent_rep4_78335b7e,todo-heldout-005,iterative_repository_agent,4,succeeded,,8,7746,269,8015,8015,8,8.281000000002678,2,0,3,,,
todo-heldout-005_iterative_repository_agent_rep5_fca6776b,todo-heldout-005,iterative_repository_agent,5,succeeded,,8,7746,271,8017,8017,8,7.6560000000026776,2,0,3,,,
todo-heldout-006_impact_plan_rep1_d93a353c,todo-heldout-006,impact_plan,1,succeeded,,1,1020,1000,2020,2020,1,6.890999999995984,4,0,1,,,
todo-heldout-006_impact_plan_rep2_98f60f7b,todo-heldout-006,impact_plan,2,succeeded,,1,1020,1006,2026,2026,1,4.813000000001921,4,0,1,,,
todo-heldout-006_impact_plan_rep3_63579f7b,todo-heldout-006,impact_plan,3,succeeded,,1,1020,1070,2090,2090,1,4.438000000001921,4,0,1,,,
todo-heldout-006_impact_plan_rep4_357b88aa,todo-heldout-006,impact_plan,4,succeeded,,1,1020,948,1968,1968,1,4.2189999999973224,4,0,1,,,
todo-heldout-006_impact_plan_rep5_2a21cbe3,todo-heldout-006,impact_plan,5,succeeded,,1,1020,1004,2024,2024,1,4.2810000000026776,4,0,1,,,
todo-heldout-006_iterative_repository_agent_rep1_0389b817,todo-heldout-006,iterative_repository_agent,1,succeeded,,8,7403,267,7670,7670,8,8.171999999998661,3,0,2,,,
todo-heldout-006_iterative_repository_agent_rep2_2e194bb3,todo-heldout-006,iterative_repository_agent,2,succeeded,,8,7403,304,7707,7707,8,8.015999999995984,3,0,2,,,
todo-heldout-006_iterative_repository_agent_rep3_dca55332,todo-heldout-006,iterative_repository_agent,3,succeeded,,8,7403,259,7662,7662,8,9.25,3,0,2,,,
todo-heldout-006_iterative_repository_agent_rep4_325cae4e,todo-heldout-006,iterative_repository_agent,4,succeeded,,8,7403,304,7707,7707,8,8.421999999998661,3,0,2,,,
todo-heldout-006_iterative_repository_agent_rep5_9841130c,todo-heldout-006,iterative_repository_agent,5,succeeded,,8,7403,299,7702,7702,8,8.75,3,0,2,,,
