case_id,split,baseline,k,selected_count,proxy_count,tp,fp,fn,precision,recall,f1,fnr,full_recall,seed_reason,build_seconds,query_seconds
djangocms-rc-0daae01f2f65,VALIDATION,graph,10,10,5,3,7,2,0.3,0.6,0.4,0.4,False,seeds_ok,0.0,0.00872350000008737
djangocms-rc-0daae01f2f65,VALIDATION,hybrid,1,1,5,0,1,5,0.0,0.0,0.0,1.0,False,hybrid_alpha_0.5,0.13489509999999427,0.004514100000051258
djangocms-rc-0daae01f2f65,VALIDATION,hybrid,3,3,5,1,2,4,0.3333333333333333,0.2,0.25,0.8,False,hybrid_alpha_0.5,0.13489509999999427,0.004603600000336883
djangocms-rc-0daae01f2f65,VALIDATION,hybrid,5,5,5,1,4,4,0.2,0.2,0.20000000000000004,0.8,False,hybrid_alpha_0.5,0.13489509999999427,0.004780399999617657
djangocms-rc-0daae01f2f65,VALIDATION,hybrid,10,10,5,2,8,3,0.2,0.4,0.26666666666666666,0.6,False,hybrid_alpha_0.5,0.13489509999999427,0.004461300000002666
djangocms-rc-0fec81224889,VALIDATION,random,1,1,3,0,1,3,0.0,0.0,0.0,1.0,False,,0.0,6.599999960599234e-05
djangocms-rc-0fec81224889,VALIDATION,random,3,3,3,0,3,3,0.0,0.0,0.0,1.0,False,,0.0,5.270000019663712e-05
djangocms-rc-0fec81224889,VALIDATION,random,5,5,3,0,5,3,0.0,0.0,0.0,1.0,False,,0.0,6.709999979648273e-05
djangocms-rc-0fec81224889,VALIDATION,random,10,10,3,1,9,2,0.1,0.3333333333333333,0.15384615384615383,0.6666666666666666,False,,0.0,6.24999993306119e-05
djangocms-rc-0fec81224889,VALIDATION,bm25,1,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.6666666666666666,False,,0.11089799999990646,0.007423999999446096
djangocms-rc-0fec81224889,VALIDATION,bm25,3,3,3,3,0,0,1.0,1.0,1.0,0.0,True,,0.11089799999990646,0.007415400000354566
djangocms-rc-0fec81224889,VALIDATION,bm25,5,5,3,3,2,0,0.6,1.0,0.7499999999999999,0.0,True,,0.11089799999990646,0.007454699999470904
djangocms-rc-0fec81224889,VALIDATION,bm25,10,10,3,3,7,0,0.3,1.0,0.4615384615384615,0.0,True,,0.11089799999990646,0.007384699999420263
djangocms-rc-0fec81224889,VALIDATION,path_token,1,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.6666666666666666,False,,0.0,0.004214000000501983
djangocms-rc-0fec81224889,VALIDATION,path_token,3,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,False,,0.0,0.004087299999810057
djangocms-rc-0fec81224889,VALIDATION,path_token,5,5,3,3,2,0,0.6,1.0,0.7499999999999999,0.0,True,,0.0,0.004108000000087486
djangocms-rc-0fec81224889,VALIDATION,path_token,10,10,3,3,7,0,0.3,1.0,0.4615384615384615,0.0,True,,0.0,0.004172999999354943
djangocms-rc-0fec81224889,VALIDATION,graph,1,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.6666666666666666,False,seeds_ok,0.0,0.00852020000002085
djangocms-rc-0fec81224889,VALIDATION,graph,3,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,False,seeds_ok,0.0,0.008588400000007823
djangocms-rc-0fec81224889,VALIDATION,graph,5,5,3,3,2,0,0.6,1.0,0.7499999999999999,0.0,True,seeds_ok,0.0,0.008523399999830872
djangocms-rc-0fec81224889,VALIDATION,graph,10,10,3,3,7,0,0.3,1.0,0.4615384615384615,0.0,True,seeds_ok,0.0,0.008659099999931641
djangocms-rc-0fec81224889,VALIDATION,hybrid,1,1,3,1,0,2,1.0,0.3333333333333333,0.5,0.6666666666666666,False,hybrid_alpha_0.5,0.11089799999990646,0.004317099999752827
djangocms-rc-0fec81224889,VALIDATION,hybrid,3,3,3,3,0,0,1.0,1.0,1.0,0.0,True,hybrid_alpha_0.5,0.11089799999990646,0.004569299999275245
djangocms-rc-0fec81224889,VALIDATION,hybrid,5,5,3,3,2,0,0.6,1.0,0.7499999999999999,0.0,True,hybrid_alpha_0.5,0.11089799999990646,0.0043009999999412685
djangocms-rc-0fec81224889,VALIDATION,hybrid,10,10,3,3,7,0,0.3,1.0,0.4615384615384615,0.0,True,hybrid_alpha_0.5,0.11089799999990646,0.004347000000052503
djangocms-rc-1031d20fca28,VALIDATION,random,1,1,9,0,1,9,0.0,0.0,0.0,1.0,False,,0.0,7.379999988188501e-05
djangocms-rc-1031d20fca28,VALIDATION,random,3,3,9,0,3,9,0.0,0.0,0.0,1.0,False,,0.0,7.010000081209e-05
djangocms-rc-1031d20fca28,VALIDATION,random,5,5,9,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.8888888888888888,False,,0.0,6.67000003886642e-05
djangocms-rc-1031d20fca28,VALIDATION,random,10,10,9,1,9,8,0.1,0.1111111111111111,0.10526315789473685,0.8888888888888888,False,,0.0,6.680000024061883e-05
djangocms-rc-1031d20fca28,VALIDATION,bm25,1,1,9,0,1,9,0.0,0.0,0.0,1.0,False,,0.13289569999960804,0.009386099999574071
djangocms-rc-1031d20fca28,VALIDATION,bm25,3,3,9,1,2,8,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8888888888888888,False,,0.13289569999960804,0.009682299999440147
djangocms-rc-1031d20fca28,VALIDATION,bm25,5,5,9,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.8888888888888888,False,,0.13289569999960804,0.009869999999864376
djangocms-rc-1031d20fca28,VALIDATION,bm25,10,10,9,3,7,6,0.3,0.3333333333333333,0.3157894736842105,0.6666666666666666,False,,0.13289569999960804,0.009290099999816448
djangocms-rc-1031d20fca28,VALIDATION,path_token,1,1,9,0,1,9,0.0,0.0,0.0,1.0,False,,0.0,0.004472700000405894
djangocms-rc-1031d20fca28,VALIDATION,path_token,3,3,9,1,2,8,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8888888888888888,False,,0.0,0.004482099999222555
djangocms-rc-1031d20fca28,VALIDATION,path_token,5,5,9,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.8888888888888888,False,,0.0,0.004985900000065158
djangocms-rc-1031d20fca28,VALIDATION,path_token,10,10,9,2,8,7,0.2,0.2222222222222222,0.2105263157894737,0.7777777777777778,False,,0.0,0.004386099999464932
djangocms-rc-1031d20fca28,VALIDATION,graph,1,1,9,0,1,9,0.0,0.0,0.0,1.0,False,seeds_ok,0.0,0.009198199999445933
djangocms-rc-1031d20fca28,VALIDATION,graph,3,3,9,1,2,8,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8888888888888888,False,seeds_ok,0.0,0.009366499999487132
djangocms-rc-1031d20fca28,VALIDATION,graph,5,5,9,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.8888888888888888,False,seeds_ok,0.0,0.010498499999812339
djangocms-rc-1031d20fca28,VALIDATION,graph,10,10,9,2,8,7,0.2,0.2222222222222222,0.2105263157894737,0.7777777777777778,False,seeds_ok,0.0,0.009045400000104564
djangocms-rc-1031d20fca28,VALIDATION,hybrid,1,1,9,0,1,9,0.0,0.0,0.0,1.0,False,hybrid_alpha_0.5,0.13289569999960804,0.006345599999804108
djangocms-rc-1031d20fca28,VALIDATION,hybrid,3,3,9,1,2,8,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8888888888888888,False,hybrid_alpha_0.5,0.13289569999960804,0.004932599999847298
djangocms-rc-1031d20fca28,VALIDATION,hybrid,5,5,9,1,4,8,0.2,0.1111111111111111,0.14285714285714285,0.8888888888888888,False,hybrid_alpha_0.5,0.13289569999960804,0.004778600000463484
djangocms-rc-1031d20fca28,VALIDATION,hybrid,10,10,9,3,7,6,0.3,0.3333333333333333,0.3157894736842105,0.6666666666666666,False,hybrid_alpha_0.5,0.13289569999960804,0.004664199999751872
djangocms-rc-138abbb7e5f4,TRAIN,random,1,1,1,0,1,1,0.0,0.0,0.0,1.0,False,,0.0,7.310000000870787e-05
djangocms-rc-138abbb7e5f4,TRAIN,random,3,3,1,0,3,1,0.0,0.0,0.0,1.0,False,,0.0,6.740000026184134e-05
djangocms-rc-138abbb7e5f4,TRAIN,random,5,5,1,0,5,1,0.0,0.0,0.0,1.0,False,,0.0,6.549999943672447e-05
djangocms-rc-138abbb7e5f4,TRAIN,random,10,10,1,0,10,1,0.0,0.0,0.0,1.0,False,,0.0,7.74000000092201e-05
djangocms-rc-138abbb7e5f4,TRAIN,bm25,1,1,1,1,0,0,1.0,1.0,1.0,0.0,True,,0.12525449999975535,0.008749300000090443
djangocms-rc-138abbb7e5f4,TRAIN,bm25,3,3,1,1,2,0,0.3333333333333333,1.0,0.5,0.0,True,,0.12525449999975535,0.0075876000000789645
djangocms-rc-138abbb7e5f4,TRAIN,bm25,5,5,1,1,4,0,0.2,1.0,0.33333333333333337,0.0,True,,0.12525449999975535,0.008618800000476767
djangocms-rc-138abbb7e5f4,TRAIN,bm25,10,10,1,1,9,0,0.1,1.0,0.18181818181818182,0.0,True,,0.12525449999975535,0.0077848000000813045
djangocms-rc-138abbb7e5f4,TRAIN,path_token,1,1,1,0,1,1,0.0,0.0,0.0,1.0,False,,0.0,0.004119399999581219
djangocms-rc-138abbb7e5f4,TRAIN,path_token,3,3,1,0,3,1,0.0,0.0,0.0,1.0,False,,0.0,0.004520299999967392
djangocms-rc-138abbb7e5f4,TRAIN,path_token,5,5,1,0,5,1,0.0,0.0,0.0,1.0,False,,0.0,0.0040588000001662294
djangocms-rc-138abbb7e5f4,TRAIN,path_token,10,10,1,0,10,1,0.0,0.0,0.0,1.0,False,,0.0,0.004115000000638247
