group,baseline,k,micro_precision,micro_recall,micro_f1,micro_fnr,micro_tp,micro_fp,micro_fn,macro_precision,macro_recall,macro_f1,macro_fnr
TRAIN,random,1,0.0,0.0,0.0,1.0,0,24,48,0.0,0.0,0.0,1.0
TRAIN,random,3,0.0,0.0,0.0,1.0,0,72,48,0.0,0.0,0.0,1.0
TRAIN,random,5,0.0,0.0,0.0,1.0,0,120,48,0.0,0.0,0.0,1.0
TRAIN,random,10,0.004166666666666667,0.020833333333333332,0.006944444444444444,0.9791666666666666,1,239,47,0.004166666666666667,0.020833333333333332,0.006944444444444445,0.9791666666666666
TRAIN,bm25,1,0.4166666666666667,0.20833333333333334,0.2777777777777778,0.7916666666666666,10,14,38,0.4166666666666667,0.2906746031746032,0.3229166666666667,0.7093253968253969
TRAIN,bm25,3,0.2361111111111111,0.3541666666666667,0.2833333333333333,0.6458333333333334,17,55,31,0.23611111111111108,0.42162698412698413,0.2805555555555556,0.5783730158730159
TRAIN,bm25,5,0.18333333333333332,0.4583333333333333,0.2619047619047619,0.5416666666666666,22,98,26,0.18333333333333335,0.5317460317460317,0.25496031746031744,0.4682539682539682
TRAIN,bm25,10,0.125,0.625,0.20833333333333334,0.375,30,210,18,0.12500000000000003,0.6408730158730159,0.19826660267836738,0.35912698412698413
TRAIN,path_token,1,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.9166666666666666,4,20,44,0.16666666666666666,0.10317460317460318,0.11458333333333333,0.8968253968253969
TRAIN,path_token,3,0.1527777777777778,0.22916666666666666,0.18333333333333335,0.7708333333333334,11,61,37,0.1527777777777778,0.20535714285714288,0.15833333333333333,0.7946428571428571
TRAIN,path_token,5,0.11666666666666667,0.2916666666666667,0.16666666666666669,0.7083333333333334,14,106,34,0.11666666666666665,0.2817460317460317,0.1517857142857143,0.7182539682539683
TRAIN,path_token,10,0.09166666666666666,0.4583333333333333,0.1527777777777778,0.5416666666666666,22,218,26,0.09166666666666669,0.4603174603174603,0.14358517299693768,0.5396825396825397
TRAIN,graph,1,0.17391304347826086,0.08333333333333333,0.11267605633802817,0.9166666666666666,4,19,44,0.16666666666666666,0.10317460317460318,0.11458333333333333,0.8968253968253969
TRAIN,graph,3,0.15942028985507245,0.22916666666666666,0.188034188034188,0.7708333333333334,11,58,37,0.1527777777777778,0.20535714285714288,0.15833333333333333,0.7946428571428571
TRAIN,graph,5,0.12173913043478261,0.2916666666666667,0.17177914110429446,0.7083333333333334,14,101,34,0.11666666666666665,0.2817460317460317,0.1517857142857143,0.7182539682539683
TRAIN,graph,10,0.09130434782608696,0.4375,0.15107913669064746,0.5625,21,209,27,0.08750000000000002,0.439484126984127,0.13664072855249323,0.560515873015873
TRAIN,hybrid,1,0.375,0.1875,0.25,0.8125,9,15,39,0.375,0.24900793650793648,0.28125,0.7509920634920636
TRAIN,hybrid,3,0.20833333333333334,0.3125,0.25,0.6875,15,57,33,0.20833333333333334,0.3660714285714286,0.24583333333333335,0.6339285714285715
TRAIN,hybrid,5,0.19166666666666668,0.4791666666666667,0.2738095238095238,0.5208333333333334,23,97,25,0.19166666666666668,0.552579365079365,0.2668650793650793,0.4474206349206349
TRAIN,hybrid,10,0.12083333333333333,0.6041666666666666,0.20138888888888887,0.3958333333333333,29,211,19,0.12083333333333335,0.6339285714285715,0.192390534302299,0.36607142857142855
VALIDATION,random,1,0.0,0.0,0.0,1.0,0,6,25,0.0,0.0,0.0,1.0
VALIDATION,random,3,0.05555555555555555,0.04,0.046511627906976744,0.96,1,17,24,0.05555555555555555,0.08333333333333333,0.06666666666666667,0.9166666666666666
VALIDATION,random,5,0.06666666666666667,0.08,0.07272727272727272,0.92,2,28,23,0.06666666666666667,0.10185185185185186,0.07142857142857144,0.8981481481481483
VALIDATION,random,10,0.05,0.12,0.07058823529411766,0.88,3,57,22,0.05000000000000001,0.1574074074074074,0.07096266306792623,0.8425925925925926
VALIDATION,bm25,1,0.16666666666666666,0.04,0.06451612903225806,0.96,1,5,24,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.9444444444444443
VALIDATION,bm25,3,0.3333333333333333,0.24,0.27906976744186046,0.76,6,12,19,0.3333333333333333,0.30185185185185187,0.3027777777777778,0.6981481481481482
VALIDATION,bm25,5,0.23333333333333334,0.28,0.2545454545454545,0.72,7,23,18,0.2333333333333333,0.3574074074074074,0.2714285714285714,0.6425925925925926
VALIDATION,bm25,10,0.21666666666666667,0.52,0.3058823529411765,0.48,13,47,12,0.21666666666666665,0.6444444444444445,0.30989653621232566,0.35555555555555557
VALIDATION,path_token,1,0.16666666666666666,0.04,0.06451612903225806,0.96,1,5,24,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.9444444444444443
VALIDATION,path_token,3,0.2222222222222222,0.16,0.18604651162790697,0.84,4,14,21,0.2222222222222222,0.18518518518518515,0.19444444444444442,0.8148148148148149
VALIDATION,path_token,5,0.2,0.24,0.2181818181818182,0.76,6,24,19,0.19999999999999998,0.32407407407407407,0.2380952380952381,0.6759259259259259
VALIDATION,path_token,10,0.18333333333333332,0.44,0.25882352941176473,0.56,11,49,14,0.18333333333333335,0.49814814814814823,0.25773729194781825,0.5018518518518519
VALIDATION,graph,1,0.16666666666666666,0.04,0.06451612903225806,0.96,1,5,24,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.9444444444444443
VALIDATION,graph,3,0.2222222222222222,0.16,0.18604651162790697,0.84,4,14,21,0.2222222222222222,0.18518518518518515,0.19444444444444442,0.8148148148148149
VALIDATION,graph,5,0.2,0.24,0.2181818181818182,0.76,6,24,19,0.19999999999999998,0.32407407407407407,0.2380952380952381,0.6759259259259259
VALIDATION,graph,10,0.18333333333333332,0.44,0.25882352941176473,0.56,11,49,14,0.18333333333333335,0.49814814814814823,0.25773729194781825,0.5018518518518519
VALIDATION,hybrid,1,0.16666666666666666,0.04,0.06451612903225806,0.96,1,5,24,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.9444444444444443
VALIDATION,hybrid,3,0.3333333333333333,0.24,0.27906976744186046,0.76,6,12,19,0.3333333333333333,0.30185185185185187,0.3027777777777778,0.6981481481481482
VALIDATION,hybrid,5,0.2,0.24,0.2181818181818182,0.76,6,24,19,0.19999999999999998,0.30185185185185187,0.22976190476190475,0.6981481481481482
VALIDATION,hybrid,10,0.2,0.48,0.28235294117647064,0.52,12,48,13,0.20000000000000004,0.5666666666666668,0.2808367071524966,0.4333333333333333
TRAIN_VALIDATION,random,1,0.0,0.0,0.0,1.0,0,30,73,0.0,0.0,0.0,1.0
TRAIN_VALIDATION,random,3,0.011111111111111112,0.0136986301369863,0.012269938650306747,0.9863013698630136,1,89,72,0.01111111111111111,0.016666666666666666,0.013333333333333334,0.9833333333333333
TRAIN_VALIDATION,random,5,0.013333333333333334,0.0273972602739726,0.017937219730941704,0.9726027397260274,2,148,71,0.013333333333333334,0.020370370370370372,0.014285714285714287,0.9796296296296296
TRAIN_VALIDATION,random,10,0.013333333333333334,0.0547945205479452,0.021447721179624665,0.9452054794520548,4,296,69,0.013333333333333334,0.04814814814814815,0.019748088169140803,0.951851851851852
TRAIN_VALIDATION,bm25,1,0.36666666666666664,0.1506849315068493,0.21359223300970873,0.8493150684931506,11,19,62,0.36666666666666664,0.24365079365079365,0.275,0.7563492063492063
TRAIN_VALIDATION,bm25,3,0.25555555555555554,0.3150684931506849,0.28220858895705525,0.684931506849315,23,67,50,0.25555555555555554,0.3976719576719576,0.2850000000000001,0.6023280423280423
TRAIN_VALIDATION,bm25,5,0.19333333333333333,0.3972602739726027,0.26008968609865474,0.6027397260273972,29,121,44,0.1933333333333334,0.49687830687830686,0.25825396825396824,0.5031216931216931
TRAIN_VALIDATION,bm25,10,0.14333333333333334,0.589041095890411,0.2305630026809652,0.410958904109589,43,257,30,0.14333333333333337,0.6415873015873016,0.22059258938515905,0.3584126984126984
TRAIN_VALIDATION,path_token,1,0.16666666666666666,0.0684931506849315,0.0970873786407767,0.9315068493150684,5,25,68,0.16666666666666666,0.09365079365079367,0.10833333333333334,0.9063492063492065
TRAIN_VALIDATION,path_token,3,0.16666666666666666,0.2054794520547945,0.18404907975460122,0.7945205479452054,15,75,58,0.16666666666666666,0.20132275132275132,0.16555555555555557,0.7986772486772487
TRAIN_VALIDATION,path_token,5,0.13333333333333333,0.273972602739726,0.17937219730941706,0.726027397260274,20,130,53,0.13333333333333336,0.29021164021164025,0.16904761904761903,0.7097883597883599
TRAIN_VALIDATION,path_token,10,0.11,0.4520547945205479,0.17694369973190346,0.547945205479452,33,267,40,0.11000000000000004,0.46788359788359796,0.1664155967871138,0.5321164021164021
TRAIN_VALIDATION,graph,1,0.1724137931034483,0.0684931506849315,0.09803921568627451,0.9315068493150684,5,24,68,0.16666666666666666,0.09365079365079367,0.10833333333333334,0.9063492063492065
TRAIN_VALIDATION,graph,3,0.1724137931034483,0.2054794520547945,0.1875,0.7945205479452054,15,72,58,0.16666666666666666,0.20132275132275132,0.16555555555555557,0.7986772486772487
TRAIN_VALIDATION,graph,5,0.13793103448275862,0.273972602739726,0.1834862385321101,0.726027397260274,20,125,53,0.13333333333333336,0.29021164021164025,0.16904761904761903,0.7097883597883599
TRAIN_VALIDATION,graph,10,0.1103448275862069,0.4383561643835616,0.1763085399449036,0.5616438356164384,32,258,41,0.1066666666666667,0.4512169312169313,0.16086004123155823,0.5487830687830688
TRAIN_VALIDATION,hybrid,1,0.3333333333333333,0.136986301369863,0.1941747572815534,0.863013698630137,10,20,63,0.3333333333333333,0.21031746031746032,0.24166666666666667,0.7896825396825398
TRAIN_VALIDATION,hybrid,3,0.23333333333333334,0.2876712328767123,0.25766871165644173,0.7123287671232876,21,69,52,0.2333333333333333,0.3532275132275132,0.2572222222222223,0.6467724867724869
TRAIN_VALIDATION,hybrid,5,0.19333333333333333,0.3972602739726027,0.26008968609865474,0.6027397260273972,29,121,44,0.19333333333333338,0.5024338624338625,0.2594444444444444,0.4975661375661376
TRAIN_VALIDATION,hybrid,10,0.13666666666666666,0.5616438356164384,0.2198391420911528,0.4383561643835616,41,259,32,0.1366666666666667,0.6204761904761903,0.21007976887233853,0.37952380952380954
