1790401928.621484313 62 3 33
1790401929.645253137 62 9 33
1790401930.664663882 62 9 38
1790401931.693719491 62 10 34
1790401932.788060424 62 9 38
1790401933.882974948 62 9 33
1790401934.900001334 62 10 34
1790401936.017525569 62 11 35
1790401937.055998881 62 11 35
1790401938.083491082 62 76 100
1790401937.202699941 62 2238 2297
1790401938.224674397 62 2287 2311
1790401939.249967446 62 2287 2316
1790401940.274575702 62 2287 2311
1790401941.293063351 62 1195 1219
1790401942.320154632 62 1195 1224
1790401943.339252205 62 1195 1219
1790401944.358907064 62 1195 1219
1790401945.378467117 62 1195 1224
1790401946.397195066 62 1195 1219
1790401947.432293278 62 1195 1219
1790401948.451199312 62 1195 1224
1790401949.470310755 62 1195 1224
1790401950.498489692 62 1195 1219
1790401951.518127856 62 1195 1219
1790401952.545151960 62 1195 1224
1790401953.563898089 62 1195 1219
1790401954.582686810 62 1195 1219
1790401955.602281691 62 1195 1224
1790401956.630075238 62 1195 1219
1790401957.653551612 62 1195 1224
1790401958.672768500 62 1195 1219
1790401959.695486616 62 1195 1219
1790401960.713086169 62 1195 1224
1790401961.748338247 62 1195 1219
1790401962.766978654 62 1195 1219
1790401963.787677446 62 1193 1222
1790401964.807404295 62 1183 1212
