8e6164e3d123_p 6 40462
8e6164e3d123_t 6 12865
9057e82cea23_p 6 10445657
9057e82cea23_t 6 10478504
940b8d83ec5c_p 27 4946630
940b8d83ec5c_t 27 4354926
95db464ad4ea_p 15 249883
95db464ad4ea_t 15 231470
95dbffbc523a_p 9 199705
95dbffbc523a_t 9 141802
99041211cf9e_p 6 592935
99041211cf9e_t 6 865397
99f9e28f8b6f_p 3 3105
99f9e28f8b6f_t 3 12688
9b88221ba8c2_p 12 65272
9b88221ba8c2_t 12 48722
9b96c1602b1f_p 3 17688
9b96c1602b1f_t 3 7048
9c032845e29b_p 3 127062
9c032845e29b_t 3 50694
a17f11cf7e87_p 6 1629099
a17f11cf7e87_t 6 1629099
a576e993bab7_p 3 24717
a576e993bab7_t 3 18763
a5e831779345_p 3 12648479
a5e831779345_t 3 12648479
a650f8f05c02_p 27 1265950
a650f8f05c02_t 27 50545
a7a2bf4146ba_p 12 86248
a7a2bf4146ba_t 12 79298
a9121e630814_p 6 144308
a9121e630814_t 6 116189
a93a877388ae_p 3 11962151
a93a877388ae_t 3 11969234
aa2bcdd0c218_p 9 9596686
aa2bcdd0c218_t 9 9596686
aa814bd5f355_p 30 196829
aa814bd5f355_t 30 156048
ab6c29ba265d_p 9 6437880
ab6c29ba265d_t 9 6955128
add4064d238e_p 5 5825800
add4064d238e_t 16 6290030
b0245506e69b_p 15 211979
b0245506e69b_t 15 203599
b0672eea0422_p 3 2586
b0672eea0422_t 3 2586
b2622810adf1_p 9 3960768
b2622810adf1_t 9 3967658
b2e3652af826_p 3 39708
b2e3652af826_t 3 34887
b356a525ba2a_p 21 85081
b356a525ba2a_t 21 882931
b35783838e51_p 3 70820
b35783838e51_t 3 5371
b60266933f7a_p 26 12850129
b60266933f7a_t 26 13012359
b8786c1bf4d3_p 6 75566
b8786c1bf4d3_t 6 62565
ba4ff17faab4_p 9 13578198
ba4ff17faab4_t 9 13578198
bcd9f60d2aef_p 3 128268
bcd9f60d2aef_t 3 55700
bd0c56fc787e_p 3 1761279
bd0c56fc787e_t 3 1761279
bd64d6fdbe4b_p 6 40533
bd64d6fdbe4b_t 6 17068
bf938e731bd8_p 3 2955
bf938e731bd8_t 2 97758
c0d4785abd74_p 21 246598
c0d4785abd74_t 21 26845
c31fb4cfd08f_p 3 65023
c31fb4cfd08f_t 3 64993
c38263743e9e_p 3 2754
c38263743e9e_t 3 1069
c428b47bddc5_p 3 163514
c428b47bddc5_t 3 163514
c6220233ccb1_p 3 43876
c6220233ccb1_t 3 22397
c7207e71e0d3_p 9 63374
c7207e71e0d3_t 9 61328
c87441bb1464_p 3 239613
c87441bb1464_t 3 239613
c9c1cc0968d3_p 3 681589
c9c1cc0968d3_t 3 688528
ce3b63edecef_p 54 735571
ce3b63edecef_t 54 286088
d299e27e5f04_p 6 2360401
d299e27e5f04_t 6 2360401
d361479ab7da_p 6 43111
d361479ab7da_t 6 40396
d3ab58054844_p 12 1070202
d3ab58054844_t 12 2033884
d498167dcd30_p 18 269219
d498167dcd30_t 18 269282
d6656e0f2a1d_p 6 103371
d6656e0f2a1d_t 6 76842
d8a4cd122bf0_p 9 2888064
d8a4cd122bf0_t 9 2933621
dacded922b1f_p 18 224875
dacded922b1f_t 18 196245
db5440f7994f_p 3 24862
db5440f7994f_t 3 17716
dd8ead382526_p 12 66845
dd8ead382526_t 12 26201
dea5ffb730ac_p 6 14053
dea5ffb730ac_t 6 14053
df7c7d4e8466_p 3 81195
df7c7d4e8466_t 3 3884
e0890780bf56_p 3 7657
e0890780bf56_t 3 2812
e089e93419bf_p 3 956514
e089e93419bf_t 3 949708
e0f2933d58b9_p 6 109547
e0f2933d58b9_t 6 51123
e6198146186d_p 6 6390
e6198146186d_t 6 39115
e7175003a542_p 6 129506
e7175003a542_t 6 17290
e8733aee630a_p 3 1745545
e8733aee630a_t 3 1736246
ea98ffa79753_p 6 56068
ea98ffa79753_t 6 50606
eaf1577585a2_p 6 5658
eaf1577585a2_t 6 1878181
eb61406cecc5_p 3 16195
eb61406cecc5_t 3 12496
ef4d31a09e7c_p 27 6297869
ef4d31a09e7c_t 28 7599452
f1d4e82c1dea_p 9 4312210
f1d4e82c1dea_t 9 4312210
f3a1ec65571f_p 3 558629
f3a1ec65571f_t 3 555556
f76d0093b450_p 3 370060
f76d0093b450_t 3 370060
f953990d221b_p 6 1315947
f953990d221b_t 6 1315947
fbfc66e3a46b_p 9 7626
fbfc66e3a46b_t 9 4225251
fd463c8aae38_p 3 46704
fd463c8aae38_t 3 24084
fd5b7971c5d2_p 4 360641
fd5b7971c5d2_t 4 360641
fe6e46266e81_p 3 6571
fe6e46266e81_t 3 4552
ffe3a3ece0fb_p 3 35219
ffe3a3ece0fb_t 3 23968
