run_id,scenario_id,repetition,arm,terminal_status,schema_valid,finish_reason,truncation_status,emitted_decisions,decoded_preserve_count,predicted_write_set_size,tp,fp,fn,precision,recall,f1,fnr,full_recall,prompt_tokens,completion_tokens,total_tokens,model_calls,latency_seconds,api_cost,raw_response_sha256,invalid_ids,duplicate_ids,conflicts,failure_category
stgc-v2-djangocms-external-validity-006-impact_plan_v2-r3,djangocms-external-validity-006,3,impact_plan_v2,succeeded,True,stop,False,6,138,4,1,3,2,0.25,0.333333,0.285714,0.666667,False,3785,1032,4817,1,14.016,0.002168,eefca90d776e3d9b8802f8b7fcf47e65e9802f1ecf7977f0f8c4c5b712c57937,[],[],[],
stgc-v2-djangocms-external-validity-006-impact_plan_v2-r4,djangocms-external-validity-006,4,impact_plan_v2,succeeded,True,stop,False,6,138,4,2,2,1,0.5,0.666667,0.571429,0.333333,False,3785,962,4747,1,18.282,0.002097,1887252208371cedbe922030e9beb0e13a63bcc4a4f78814d5c4aea544079283,[],[],[],
stgc-v2-djangocms-external-validity-006-impact_plan_v2-r5,djangocms-external-validity-006,5,impact_plan_v2,succeeded,True,stop,False,5,139,3,1,2,2,0.333333,0.333333,0.333333,0.666667,False,3785,869,4654,1,10.875,0.002005,cff7a1c2d19cf07fadf50d217779e543f56cd4b146962c9516b6aa3df13e179c,[],[],[],
stgc-v2-djangocms-external-validity-007-impact_plan_v2-r1,djangocms-external-validity-007,1,impact_plan_v2,succeeded,True,stop,False,9,135,8,7,1,0,0.875,1.0,0.933333,0.0,True,3584,1218,4802,1,15.5,0.002293,f2738a216e060516405d09a2cea16d40dc24a2950bcece16e4310bd660b01add,[],[],[],
stgc-v2-djangocms-external-validity-007-impact_plan_v2-r2,djangocms-external-validity-007,2,impact_plan_v2,succeeded,True,stop,False,9,135,6,5,1,2,0.833333,0.714286,0.769231,0.285714,False,3584,1247,4831,1,15.391,0.002322,03a7489c9e8f2ce47804c5240ca4fbabdc248adc881d466fd01ceb57e17f4918,[],[],[],
stgc-v2-djangocms-external-validity-007-impact_plan_v2-r3,djangocms-external-validity-007,3,impact_plan_v2,succeeded,True,stop,False,8,136,6,6,0,1,1.0,0.857143,0.923077,0.142857,False,3584,1287,4871,1,13.031,0.002362,ec51d3be8f7e05fd9d84dda084a7008201fe2db5c32d081c36436936c1a00e21,[],[],[],
stgc-v2-djangocms-external-validity-007-impact_plan_v2-r4,djangocms-external-validity-007,4,impact_plan_v2,succeeded,True,stop,False,8,136,8,5,3,2,0.625,0.714286,0.666667,0.285714,False,3584,1366,4950,1,14.125,0.002441,e77aa68e3e977b2523e53812b3bfa705eeecf26abbca8a11ad47aee64228ef08,[],[],[],
stgc-v2-djangocms-external-validity-007-impact_plan_v2-r5,djangocms-external-validity-007,5,impact_plan_v2,succeeded,True,stop,False,8,136,6,6,0,1,1.0,0.857143,0.923077,0.142857,False,3584,1404,4988,1,12.437,0.002479,4470859803ec1b002f895b792e9d7f3d94cff093f3e8357514114b1b4578f457,[],[],[],
stgc-v2-djangocms-external-validity-008-impact_plan_v2-r1,djangocms-external-validity-008,1,impact_plan_v2,succeeded,True,stop,False,5,139,4,4,0,0,1.0,1.0,1.0,0.0,True,4155,1005,5160,1,6.265,0.002252,3171798735cbde9fcdd855132408533f9de026ff0f7cd18d8f85eaf3f780dd2c,[],[],[],
stgc-v2-djangocms-external-validity-008-impact_plan_v2-r2,djangocms-external-validity-008,2,impact_plan_v2,succeeded,True,stop,False,7,137,6,4,2,0,0.666667,1.0,0.8,0.0,True,4155,1077,5232,1,6.797,0.002324,6848f817b426400aecc30d82f664d62a83e1950459781a722a26de0ab0258251,[],[],[],
stgc-v2-djangocms-external-validity-008-impact_plan_v2-r3,djangocms-external-validity-008,3,impact_plan_v2,succeeded,True,stop,False,10,134,6,4,2,0,0.666667,1.0,0.8,0.0,True,4155,1235,5390,1,9.625,0.002482,d6618c8836fa100e934174c86a1a1a8660845adddbd3d368d93dec683133147c,[],[],[],
stgc-v2-djangocms-external-validity-008-impact_plan_v2-r4,djangocms-external-validity-008,4,impact_plan_v2,succeeded,True,stop,False,7,137,5,3,2,1,0.6,0.75,0.666667,0.25,False,4155,890,5045,1,8.203,0.002136,f366f491d9fc292463d7de0114e57612e2e2e7796708333b3784294d92910704,[],[],[],
stgc-v2-djangocms-external-validity-008-impact_plan_v2-r5,djangocms-external-validity-008,5,impact_plan_v2,succeeded,True,stop,False,6,138,4,4,0,0,1.0,1.0,1.0,0.0,True,4155,970,5125,1,8.875,0.002216,eb0747c3180bb200aec832f863639c7bfc07e77de4eca1207fe0a7a4f64e3b20,[],[],[],
