study,arm,n,total_selection_duration,mean_run_duration,median_run_duration,p90_run_duration,max_run_duration,total_model_calls,total_tool_calls,total_tool_duration,total_prompt_tokens,total_completion_tokens,total_tokens,call_equivalent_duration,top3_outlier_run_ids
smoke,iterative_repository_agent,15,147.644000,9.842933,10.281000,12.672000,14.172000,89,74,0.467000,95343,3169,98512,1.658921,todo-smoke-003_iterative_repository_agent_rep2_f13e6f59=14.172s; todo-smoke-003_iterative_repository_agent_rep4_b9cc5737=12.672s; todo-smoke-002_iterative_repository_agent_rep4_7a7fd294=12.469s
smoke,impact_plan,15,252.094000,16.806267,13.531000,24.438000,43.750000,15,0,0.000000,18800,15284,34084,16.806267,todo-smoke-003_impact_plan_rep5_c45d5c18=43.750s; todo-smoke-002_impact_plan_rep5_81ed8d80=24.438s; todo-smoke-003_impact_plan_rep3_14ebae7d=22.047s
heldout,iterative_repository_agent,30,490.108000,16.336933,8.211000,9.953000,149.468000,220,159,1.318000,203121,7762,210883,2.227764,todo-heldout-002_iterative_repository_agent_rep1_1e586b58=149.468s; todo-heldout-002_iterative_repository_agent_rep2_9dc9d2f6=111.406s; todo-heldout-001_iterative_repository_agent_rep1_9a26ad9b=10.406s
heldout,impact_plan,30,236.162000,7.872067,6.891000,8.906000,26.235000,30,0,0.000000,29870,27101,56971,7.872067,todo-heldout-001_impact_plan_rep4_4ed35922=26.235s; todo-heldout-001_impact_plan_rep5_79722919=25.765s; todo-heldout-002_impact_plan_rep3_28454ae0=10.359s
