strategy_name,planned,succeeded,failed,model_calls,prompt_tokens,completion_tokens,total_tokens,duration_seconds,selected_artifact_count,regenerated_artifact_count,preserved_artifact_count,migration_passed,baseline_passed,evaluator_passed
impact_plan,15,10,0,10,12095,9891,21986,134.516,25,0,16,0,0,0
iterative_repository_agent,15,10,0,53,50909,1884,52793,86.877,25,0,25,0,0,0
