strategy_name,planned,succeeded,failed,model_calls,prompt_tokens,completion_tokens,total_tokens,duration_seconds,selected_artifact_count,regenerated_artifact_count,preserved_artifact_count,migration_passed,baseline_passed,evaluator_passed
impact_plan,15,0,15,208,228839,173418,402257,4029.015,45,0,24,0,0,0
iterative_repository_agent,15,0,15,129,142986,12883,155869,441.986,0,0,75,0,0,0
